	option												
total_options	1	2	3	4	5	6	7	8	9	10	11	12	Total
	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.
1	164.0	164.0	164.0	164.0	164.0	164.0	164.0	164.0	164.0	164.0	164.0	164.0	1,968.0
2	83,360.0	83,360.0	83,360.0	83,360.0	83,360.0	83,360.0	83,360.0	83,360.0	83,360.0	83,360.0	83,360.0	83,360.0	1,000,320.0
3	157,138.0	157,138.0	157,138.0	157,138.0	157,138.0	157,138.0	157,138.0	157,138.0	157,138.0	157,138.0	157,138.0	157,138.0	1,885,656.0
4	137,752.0	137,752.0	137,752.0	137,752.0	137,752.0	137,752.0	137,752.0	137,752.0	137,752.0	137,752.0	137,752.0	137,752.0	1,653,024.0
5	53,834.0	53,834.0	53,834.0	53,834.0	53,834.0	53,834.0	53,834.0	53,834.0	53,834.0	53,834.0	53,834.0	53,834.0	646,008.0
6	15,915.0	15,915.0	15,915.0	15,915.0	15,915.0	15,915.0	15,915.0	15,915.0	15,915.0	15,915.0	15,915.0	15,915.0	190,980.0
7	3,457.0	3,457.0	3,457.0	3,457.0	3,457.0	3,457.0	3,457.0	3,457.0	3,457.0	3,457.0	3,457.0	3,457.0	41,484.0
8	637.0	637.0	637.0	637.0	637.0	637.0	637.0	637.0	637.0	637.0	637.0	637.0	7,644.0
9	285.0	285.0	285.0	285.0	285.0	285.0	285.0	285.0	285.0	285.0	285.0	285.0	3,420.0
10	152.0	152.0	152.0	152.0	152.0	152.0	152.0	152.0	152.0	152.0	152.0	152.0	1,824.0
11	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	288.0
12	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	84.0
Total	452,725.0	452,725.0	452,725.0	452,725.0	452,725.0	452,725.0	452,725.0	452,725.0	452,725.0	452,725.0	452,725.0	452,725.0	5,432,700.0

